   ERROR: 2024-10-31 03:21:02,735:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:22: #les-libraries-standards: No such file or directory
   DEBUG: 2024-10-31 03:21:02,735:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,735:      pdf_renderer.py:  470: printSegment: 1.3.2.2. Les librairies populaires
   ERROR: 2024-10-31 03:21:02,736:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:23: #les-libraries-populaires: No such file or directory
   DEBUG: 2024-10-31 03:21:02,736:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,737:      pdf_renderer.py:  470: printSegment: 1.3.3. Conda
   ERROR: 2024-10-31 03:21:02,738:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:24: #conda: No such file or directory
   DEBUG: 2024-10-31 03:21:02,738:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,739:      pdf_renderer.py:  470: printSegment: 1.4. Langage interprété vs. compilé vs. Byte-code
   ERROR: 2024-10-31 03:21:02,740:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:25: #14-langage-interpr%C3%A9t%C3%A9-vs-compil%C3%A9-vs-byte-code: No such file or directory
   DEBUG: 2024-10-31 03:21:02,740:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,740:      pdf_renderer.py:  470: printSegment: 1.4.1. Langage Interprété
   ERROR: 2024-10-31 03:21:02,741:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:26: #langage-interpr%C3%A9t%C3%A9: No such file or directory
   DEBUG: 2024-10-31 03:21:02,741:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,742:      pdf_renderer.py:  470: printSegment: 1.4.2. Langage Compilé
   ERROR: 2024-10-31 03:21:02,743:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:27: #langage-compil%C3%A9: No such file or directory
   DEBUG: 2024-10-31 03:21:02,743:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,744:      pdf_renderer.py:  470: printSegment: 1.4.3. Langage Byte-code
   ERROR: 2024-10-31 03:21:02,744:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:28: #langage-byte-code: No such file or directory
   DEBUG: 2024-10-31 03:21:02,744:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,745:      pdf_renderer.py:  470: printSegment: 1.4.4. Comparaison
   ERROR: 2024-10-31 03:21:02,745:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:29: #comparaison: No such file or directory
   DEBUG: 2024-10-31 03:21:02,745:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,746:      pdf_renderer.py:  470: printSegment: 1.5. Types statiques et Types dynamiques
